batch,income,debt,credit_score,approved
reference,65388,32104,538,1
reference,69696,39959,481,0
reference,63220,18090,570,0
reference,30383,29129,554,0
reference,74907,38283,665,1
reference,36209,19844,521,0
reference,45021,15815,577,0
reference,24627,49583,617,0
reference,11136,46553,665,0
reference,40210,8248,671,1
reference,50671,24518,690,1
reference,45055,41632,390,0
reference,52277,23262,689,0
reference,46298,14989,653,0
reference,66897,31144,511,1
reference,15400,43641,691,0
reference,49199,48354,559,0
reference,59970,25996,654,0
reference,37233,42217,690,0
reference,67670,47217,573,1
reference,60261,39519,554,0
reference,48875,1824,681,1
reference,32931,6934,624,1
reference,38523,49221,639,1
reference,25492,12344,586,0
reference,88252,17600,802,1
reference,86247,19369,632,1
reference,51076,1241,776,1
reference,67881,40679,719,1
reference,43132,8041,664,1
reference,57523,39582,611,1
reference,63621,42100,623,0
reference,90950,3654,782,1
reference,92433,49067,481,0
reference,44911,20066,713,0
reference,101170,27817,669,1
reference,39926,11381,519,1
reference,37047,12033,676,0
reference,50670,6588,725,1
reference,38850,14294,769,0
reference,69705,30046,558,1
reference,16127,10930,655,0
reference,60455,33836,850,1
reference,34201,48435,726,0
reference,54767,35092,571,1
reference,58334,13449,631,1
reference,35058,17242,651,0
reference,81261,13915,651,1
reference,52195,12617,524,1
reference,75061,2017,559,0
reference,58030,23717,608,0
reference,48049,25300,530,1
reference,16222,45380,667,0
reference,24592,1504,661,1
reference,81009,24441,531,0
reference,58708,39870,699,0
reference,61683,40059,643,0
reference,63255,41474,694,0
reference,55393,26076,597,0
reference,37764,41759,640,1
reference,56665,24199,720,1
reference,24561,7698,732,1
reference,33113,30449,850,1
reference,58998,41133,591,0
reference,26071,21192,597,0
reference,61999,15270,667,1
reference,27638,36528,640,0
reference,13787,21595,661,0
reference,39130,3981,689,1
reference,55682,47384,627,0
reference,46317,44033,693,1
reference,36267,29067,770,1
reference,46583,49203,682,1
reference,83780,33941,670,1
reference,57727,45271,601,1
reference,73598,12559,521,1
reference,69510,6292,696,1
reference,44427,3088,719,1
reference,57456,43991,815,1
reference,38425,8198,585,1
reference,88960,24903,641,1
reference,59183,42186,680,1
