batch,income,debt,credit_score,approved
current,79196,41597,387,0
current,83648,23108,485,1
current,46499,30330,602,0
current,37945,38140,505,0
current,29214,20933,363,0
current,69665,15388,574,0
current,40075,26701,484,0
current,35342,8992,461,0
current,46399,39446,691,1
current,101269,6040,405,1
current,80553,39974,615,1
current,36025,31536,549,0
current,66908,23990,624,1
current,40901,11466,600,1
current,67558,7282,611,1
current,56542,32113,552,0
current,43904,20819,616,1
current,51138,17199,666,0
current,28418,16480,645,0
current,87381,3910,528,1
current,21480,21970,647,0
current,72323,30167,597,1
current,44241,38032,545,0
current,63913,17216,684,1
current,60554,858,554,0
current,23942,18428,672,1
current,47838,41819,667,0
current,94069,5398,601,1
current,81545,22339,700,1
current,45406,6473,707,1
current,62877,35817,597,0
current,35581,37916,624,0
current,56937,34357,559,1
current,31537,687,370,0
current,74303,4230,525,1
current,23545,33194,677,0
current,50539,4538,702,1
current,57163,45437,704,1
current,69174,40154,693,1
current,26749,21882,612,1
current,18423,8630,493,0
current,38035,27434,596,1
current,44519,34002,674,0
current,56466,33514,647,0
current,51446,18856,615,0
current,59431,37518,628,1
current,58593,26641,601,1
current,77326,31499,583,1
current,57794,12117,558,1
current,60128,42312,620,0
current,65252,13431,678,1
current,50832,46335,495,0
current,59718,20737,598,0
current,58936,8711,636,1
current,39342,8665,534,0
current,52672,19191,544,0
current,65481,35401,670,1
current,41997,8885,606,1
current,77414,34628,516,0
current,97573,38926,624,1
current,64838,44750,664,0
current,44384,25765,623,0
current,38392,18295,491,0
current,52643,23868,530,0
current,38055,35983,682,1
current,49390,37708,736,1
current,53201,44197,434,1
current,53828,17878,554,1
current,66730,7710,554,1
current,52207,6353,533,1
current,54450,23616,549,0
current,45991,45832,475,0
current,79064,20928,599,0
current,28755,14019,759,0
current,72690,43397,650,1
current,20965,12984,579,0
current,63503,46332,603,0
current,77243,44763,528,0
current,66975,17902,516,0
current,51115,2931,501,0
current,63276,12614,752,1
current,44653,17857,773,0
current,79187,6193,677,1
current,72606,19755,581,1
current,99490,30062,645,1
current,60051,33928,667,0
current,56319,31285,560,1
current,10918,40092,512,0
current,47120,39511,477,0
current,41011,38386,737,0
current,36762,49309,594,0
current,53711,29814,674,0
current,87982,31852,568,1
current,35444,13738,645,0
current,56776,38884,600,1
current,70508,26337,556,0
current,23247,20898,687,0
current,43157,9692,571,0
current,52817,39077,649,0
current,33718,39415,506,0
current,21399,24802,740,1
current,27283,19391,558,0
current,86586,5072,731,1
current,43037,16401,639,1
current,73063,22695,558,1
current,42306,12613,528,0
current,26437,18226,618,0
current,44930,43289,449,1
current,55099,19553,640,1
current,55486,47056,701,0
current,57845,15548,520,0
current,41247,44848,801,1
current,69737,6045,501,1
current,36676,32577,559,1
current,63693,40914,562,1
current,72598,1158,446,1
current,38440,26294,760,0
current,63273,5217,509,1
current,58534,31404,606,0
current,29573,628,721,1
current,57471,35818,642,0
current,79834,43859,641,0
current,70901,43973,713,1
current,77423,19333,610,1
current,46874,2225,739,1
current,60429,12956,644,1
current,59057,43497,528,0
current,66267,15105,635,0
current,44580,33451,652,0
current,86000,18049,577,0
current,50929,15780,574,1
current,85878,9024,537,1
current,38784,28713,715,0
current,35851,9588,556,0
current,69349,18953,679,0
current,68660,16442,430,0
current,60464,44000,549,0
current,63574,5348,618,1
current,76791,5601,443,0
current,56224,33588,549,0
current,37449,40673,509,0
current,67884,25483,814,1
current,64941,39151,642,1
current,34332,33515,463,0
current,51385,6144,643,1
current,58917,17188,503,1
current,68728,39718,587,0
current,65378,17107,516,0
current,10147,31612,648,0
current,62327,38675,550,0
current,27557,32375,644,0
current,54685,18030,601,0
current,60883,41258,736,1
current,33403,39788,601,0
current,72989,37708,660,1
current,82902,38256,628,0
current,58575,38758,652,1
current,34702,33218,638,0
current,60714,25495,493,0
current,40262,41357,594,0
current,62752,47517,680,1
current,61258,47224,441,0
current,36824,43569,647,0
current,42415,34654,570,0
current,18828,30367,599,0
current,66883,14944,604,0
current,61563,31090,569,0
current,32950,48864,584,0
current,44008,27123,737,0
current,58859,35150,492,0
current,19491,44148,637,0
current,56666,20223,670,1
current,64922,42819,668,0
current,43144,29369,529,0
current,39811,27142,689,0
current,25769,16848,539,0
current,39390,2260,446,0
current,36447,26003,587,0
current,56381,40963,506,0
current,42557,23935,594,0
current,83732,38561,674,1
current,34785,35170,549,0
current,51395,1041,627,1
current,57807,25596,789,0
current,8000,15878,662,1
current,53364,37538,467,0
current,89506,45508,509,0
current,61326,16825,464,1
current,47301,18481,559,1
current,72214,926,432,1
current,20821,3205,512,0
current,80633,41034,660,0
current,39374,38283,673,0
current,41989,16789,559,0
current,58264,20495,410,0
current,51375,28588,609,1
current,46022,38105,532,0
current,30035,46418,502,0
current,25602,48419,707,0
current,64507,39262,682,0
current,58963,46067,629,0
current,67390,7074,757,1
current,65871,9227,635,1
current,47614,34437,537,0
current,36045,7580,660,0
current,57025,3958,504,1
current,85697,3125,622,1
current,28271,46540,672,1
current,62513,45442,658,1
current,36361,7144,560,1
current,64108,22738,485,1
current,79731,44910,503,0
current,68910,36540,615,0
current,50968,42146,416,0
current,51229,7533,538,1
current,65549,22285,598,0
current,64304,10509,487,0
current,86128,5182,547,1
current,67475,42722,551,1
current,45160,28541,644,1
current,59091,33131,629,1
current,64902,973,474,1
current,82168,15638,444,0
current,61870,28746,504,1
current,61125,33620,612,1
current,41257,38876,561,0
current,50044,13112,620,1
current,42082,28572,498,0
current,62248,36013,640,1
current,27894,10864,501,1
current,62151,19763,511,1
current,26117,1952,647,0
current,87086,14862,429,0
current,42542,5416,519,0
current,60405,40181,658,0
current,87129,14807,526,1
current,70335,4364,634,1
current,64240,8864,589,1
current,74340,21294,590,1
current,53015,12066,490,1
current,8000,21934,574,0
current,48709,33859,451,0
current,116831,14575,616,1
current,39389,25250,587,0
current,71383,18051,380,0
current,29816,13130,517,1
current,67330,30416,669,1
current,33370,41480,508,0
current,29027,5192,507,1
current,32555,20007,564,0
current,43086,24504,547,1
