area_sqft,bedrooms,age_years,price_lakh
2062.7,3,39.0,102.94
2242.1,2,7.0,113.23
1228.2,4,24.6,58.91
2282.5,1,9.6,126.58
1160.6,2,11.2,62.63
1774.7,3,25.6,104.15
2453.2,3,6.8,127.63
757.4,4,24.6,52.04
2094.0,4,1.9,127.57
976.7,3,9.5,64.23
1433.6,4,21.7,81.16
1547.3,4,22.1,95.12
1998.3,4,14.0,116.78
1579.6,3,35.8,80.19
2583.6,3,34.6,129.49
1925.4,2,2.3,115.18
1697.5,2,10.9,88.58
896.0,1,25.3,41.98
852.5,1,4.8,54.44
2137.4,1,34.8,109.6
743.6,3,8.5,48.82
2068.0,4,3.7,105.58
1268.2,2,37.5,70.36
1454.0,3,22.0,81.48
1629.4,4,23.0,110.22
815.4,1,34.6,49.68
1092.0,2,37.7,70.67
1438.9,4,36.1,77.37
1712.2,1,33.4,81.64
1049.2,3,6.4,67.41
1558.1,2,35.5,82.22
2005.6,1,39.6,90.19
2155.7,4,7.6,132.35
2381.0,1,37.0,107.13
2198.4,4,26.4,123.49
858.6,3,39.5,50.34
1462.4,2,13.6,82.51
945.1,3,19.7,65.18
930.3,2,27.7,48.09
1608.5,3,13.6,107.81
774.4,1,1.2,50.28
983.0,1,24.9,47.37
1038.7,3,37.8,56.47
1112.3,4,20.6,64.64
783.0,4,15.9,49.34
849.0,3,17.8,49.73
2227.7,2,16.6,114.97
1796.3,2,6.6,92.12
1978.2,1,0.4,114.38
1895.1,4,39.1,90.57
1261.8,2,11.1,77.43
1983.1,2,34.9,106.65
2555.3,1,10.4,124.69
671.7,2,33.4,34.3
1304.7,4,20.8,85.03
1334.0,1,38.2,61.88
1718.2,1,9.5,93.61
1012.3,4,5.1,63.89
2405.1,2,14.9,117.38
1431.7,1,26.9,69.41
1279.8,2,20.2,69.13
714.6,2,26.1,39.97
912.7,1,14.3,41.08
1323.8,1,36.3,76.42
961.2,3,39.2,67.01
1175.0,3,19.1,86.62
2593.9,4,8.4,125.8
1661.2,4,4.7,88.81
1458.9,2,37.9,77.5
1688.4,4,2.8,96.32
872.0,3,33.5,41.02
946.3,2,18.4,54.13
1487.1,2,34.5,83.39
1405.2,2,37.2,66.75
1406.1,1,38.2,73.1
2434.9,4,33.0,128.58
1439.6,2,29.0,73.05
2306.5,1,0.7,111.26
1243.6,1,34.3,73.92
1125.0,3,25.6,62.65
1748.9,2,37.0,89.85
1252.9,1,13.8,69.08
2201.6,1,6.7,109.32
2334.6,4,12.4,131.13
655.9,2,19.8,47.64
1360.3,1,4.7,68.15
857.8,4,18.3,49.36
1635.9,1,13.1,74.19
2368.5,3,36.1,115.57
1427.4,2,14.5,85.34
1006.5,1,15.2,46.55
999.6,3,9.1,67.5
1399.1,4,9.5,75.49
2420.7,2,22.3,121.56
2265.3,2,15.4,120.04
2312.8,1,39.8,103.22
2160.0,4,5.8,116.36
2470.2,4,32.4,141.24
836.0,2,11.6,62.76
2012.4,1,5.9,102.64
655.8,4,4.9,60.11
1393.7,4,7.0,88.95
1841.4,2,33.6,91.02
790.5,2,12.4,48.86
1725.6,2,3.3,94.56
2583.8,2,0.4,134.53
1729.5,1,4.6,76.9
1915.6,1,16.9,99.09
1297.0,4,7.6,79.52
1986.9,2,1.8,101.47
2424.0,2,20.1,106.73
2318.5,3,22.1,122.53
932.0,2,25.9,56.29
2431.0,2,26.0,127.86
1844.0,4,31.2,100.97
1309.3,3,3.5,73.82
916.0,3,31.8,65.54
743.8,1,24.0,48.09
1176.0,4,24.5,73.54
2043.2,2,22.4,112.02
793.8,1,9.7,44.76
2215.3,2,0.2,112.26
988.2,3,3.1,56.67
1931.8,4,10.8,109.09
2101.6,4,7.0,119.19
1883.1,1,32.3,101.45
1231.8,1,21.8,65.77
