month,region,city,category,product,quantity,revenue
2026-11,South,Vijayawada,Personal,Shampoo 200ml,2,280
2026-11,South,Vijayawada,Stationery,Notebook,15,600
2026-11,South,Guntur,Grocery,Rice 5kg,14,3920
2026-11,South,Guntur,Grocery,Tea 500g,5,1050
2026-11,South,Guntur,Personal,Shampoo 200ml,7,980
2026-11,South,Guntur,Stationery,Notebook,5,200
2026-11,North,Hyderabad,Grocery,Rice 5kg,19,5320
2026-11,North,Hyderabad,Grocery,Tea 500g,13,2730
2026-11,North,Hyderabad,Personal,Shampoo 200ml,5,700
2026-11,North,Hyderabad,Stationery,Notebook,23,920
2026-12,South,Vijayawada,Grocery,Rice 5kg,4,1120
2026-12,South,Vijayawada,Grocery,Tea 500g,8,1680
2026-12,South,Vijayawada,Personal,Shampoo 200ml,7,980
2026-12,South,Vijayawada,Stationery,Notebook,3,120
2026-12,South,Guntur,Grocery,Rice 5kg,8,2240
2026-12,South,Guntur,Grocery,Tea 500g,12,2520
2026-12,South,Guntur,Personal,Shampoo 200ml,21,2940
2026-12,South,Guntur,Stationery,Notebook,15,600
2026-12,North,Hyderabad,Grocery,Rice 5kg,10,2800
2026-12,North,Hyderabad,Grocery,Tea 500g,9,1890
2026-12,North,Hyderabad,Personal,Shampoo 200ml,14,1960
2026-12,North,Hyderabad,Stationery,Notebook,4,160
