income,debt,credit_score,approved
21346,42440,322,0
17000,53643,793,0
56217,12451,390,0
39272,42460,442,0
74805,47832,569,0
56098,46447,609,0
71877,31501,633,1
107776,56550,598,1
96691,51978,593,0
114384,43175,532,1
67100,48027,397,0
104407,13853,763,1
80036,23807,463,0
99193,34190,318,0
29239,33569,848,1
35126,2716,626,1
56261,16748,844,1
48420,56788,306,0
25219,55135,456,0
32488,57952,533,0
49672,941,747,1
27420,2965,424,0
97798,32326,494,1
119724,25412,578,1
46436,15408,541,0
24746,7710,331,0
95751,56213,575,1
98215,6053,574,1
25290,57054,511,0
21346,16053,801,1
114698,58389,498,1
57616,56934,586,1
110702,43969,732,1
114257,44019,611,1
17899,43087,647,0
66206,49422,376,0
71199,7809,379,1
40268,9230,380,0
37946,28547,743,0
51608,38718,468,0
76838,24206,362,1
101364,52812,487,1
90734,7815,596,1
112114,36815,468,1
80658,12537,328,1
83411,27338,416,1
50729,7884,754,1
69911,18569,427,0
70709,43842,563,1
20353,49281,458,0
21978,36297,605,0
71072,19295,329,0
42217,40539,783,0
53334,12258,411,0
48061,7378,740,1
20922,55865,770,0
51435,7764,379,1
79123,7961,511,1
106643,21010,318,0
92293,13896,654,1
65501,31339,464,1
43854,667,448,0
103191,38076,839,1
49915,33171,626,1
34031,10987,630,1
91499,9359,381,1
86964,25095,725,1
40183,55654,527,0
61424,18611,573,1
40362,57999,721,0
91618,43010,684,0
73499,12358,822,1
45368,13878,785,1
45166,6395,635,0
104538,4022,460,1
88757,29239,417,0
113243,27465,487,1
37695,35702,420,1
92442,6477,307,0
57047,178,499,1
74752,19137,778,1
41386,18416,521,0
90632,36007,671,1
93836,55072,648,1
29043,36170,430,0
25078,4316,718,1
93760,16340,309,0
44706,15726,398,0
98094,19919,376,1
82715,38997,333,0
88954,17399,698,1
70168,43224,761,0
108039,36608,836,1
86382,10903,472,1
61570,25105,823,1
54529,12165,306,1
101368,58331,604,0
17285,19569,427,0
84366,47954,817,0
87731,29091,362,0
98612,19486,669,1
85681,48891,561,0
50246,29780,680,1
113398,259,375,1
49612,10306,424,1
77147,57591,457,0
15332,50518,588,0
95118,57534,572,0
62779,50726,328,0
29984,25202,684,1
19983,28454,384,0
16911,20484,651,0
24087,21313,418,0
95170,54012,667,1
29341,34413,446,0
71861,3179,347,0
47363,9467,443,1
101053,57132,557,0
80043,46188,655,0
111634,6247,702,1
81654,1571,648,1
110618,19231,689,1
69184,12908,391,1
73689,43096,551,1
44450,34978,463,0
45060,30183,301,0
110334,10018,564,1
96137,9619,847,1
69670,29057,363,0
50762,24401,681,1
33546,2200,681,1
101405,47308,616,1
76295,50845,677,0
51364,12926,304,0
89468,34716,822,1
15540,19411,815,0
35518,30847,493,0
41144,17447,786,1
21701,31309,688,0
28425,11605,544,1
104264,30395,730,1
92898,49041,449,0
63680,29266,307,1
77632,40455,386,0
17158,3406,731,0
30184,6493,685,1
19141,24720,453,0
94854,37022,706,1
30520,58357,631,0
37744,59736,331,0
110246,34061,568,1
51377,45721,419,0
98276,11282,746,1
17039,57254,308,0
69797,11262,396,1
51532,39753,607,0
50489,52854,383,0
102893,38858,814,1
18760,38285,473,0
37092,50577,829,1
93119,37503,834,1
113545,5761,840,1
49960,14168,367,0
75973,54624,782,1
114922,19211,758,1
100970,32103,337,0
61103,50020,614,0
64247,45688,550,0
52257,57442,626,1
109697,26710,795,1
67798,16209,644,1
70835,50325,614,0
117069,26171,395,1
109899,41135,752,1
103260,58765,687,1
62322,2257,568,0
55558,27265,345,0
43709,30609,471,0
80908,51958,353,1
116864,34900,759,1
60881,45814,815,0
37783,40611,411,0
50793,37984,432,0
95272,37823,445,0
74954,30464,438,1
86791,50126,536,0
15488,17896,407,0
113829,3386,777,1
41835,52753,373,0
