t,rates,inflation,unrelated
72,1.39703,2.11919,-0.51198
73,0.76211,0.88863,-0.5683
74,-0.83871,0.54359,-0.8592
75,-1.27024,0.71914,-0.1509
76,-0.19233,0.25168,0.8413
77,0.86513,-0.65757,-0.11584
78,1.31936,1.04567,-0.19109
79,1.85042,-0.85004,0.37359
80,-0.27291,2.1852,2.06213
81,-1.30099,1.51469,-1.57905
82,-1.81391,-0.8019,-1.25714
83,-2.05787,-0.6087,-0.75903
84,-0.99167,0.22445,-0.61903
85,-1.06534,-1.96051,0.29638
86,-0.05108,-1.66578,1.40423
87,0.42321,-0.81768,1.02681
88,2.85978,0.02067,0.83457
89,0.88081,2.52309,1.84485
90,0.40866,2.17805,0.25401
91,-0.55195,1.5217,0.17569
92,-0.92701,1.00383,0.97662
93,-1.90181,-1.8956,-1.15085
94,-1.5518,-0.9615,0.71209
95,-0.24183,-0.31368,-1.46792
96,-1.38264,0.38933,-0.30944
97,0.27886,-0.65364,-1.11782
98,1.11411,-0.82612,0.60846
99,0.53764,1.85524,-1.08333
100,-0.37827,1.22048,-1.63758
101,-1.33858,0.09229,-1.4399
102,-0.64895,0.64482,-0.52437
103,0.02846,1.26618,-0.51639
104,0.91684,0.3499,2.44701
105,0.58037,0.12711,1.61656
106,1.71387,-0.80105,0.90468
107,0.11139,0.58644,2.92075
108,0.80754,-1.02067,2.33354
109,0.75113,0.11047,2.3477
110,0.8679,1.15857,0.15194
111,-0.1794,0.20408,0.10621
112,-1.43018,0.08409,-1.89325
113,0.47346,-2.44525,0.90314
114,-0.24197,-2.26241,-0.61862
115,-1.2066,-1.71388,-1.54102
116,-1.70122,-2.58173,-0.33717
117,-1.05418,-2.70036,1.79426
118,-0.50326,-2.30621,0.78119
119,-1.94792,-0.89842,2.21319
120,-2.19485,0.30949,0.98807
121,-0.88797,-2.52233,1.89203
122,-0.44645,-2.16625,1.27314
123,-1.82153,0.46086,-0.48132
124,-1.24567,-1.78463,-0.42924
125,-1.87567,-1.38262,0.8607
126,-1.95842,0.10376,-0.04022
127,-0.05969,-1.9592,-1.51816
128,1.19251,0.06115,-0.13408
129,-1.02341,0.98482,-1.70762
130,-1.38301,-0.23582,2.25967
131,-0.41831,-0.8619,-0.52913
132,-2.33736,-0.30845,-0.00945
133,-2.46234,-1.23917,0.89119
134,-1.95931,-2.49349,-0.65012
135,-0.64545,-1.80127,-0.71237
136,1.61795,-0.30571,0.83633
137,-0.90528,1.68859,-2.03437
138,-0.14199,-0.79182,-2.02418
139,-0.02658,-0.80028,-0.55372
140,-1.50588,0.92907,0.47702
141,-1.98316,2.23876,-0.75009
142,-2.80812,-1.47201,-1.10552
143,-2.10142,-1.43687,-0.66793
144,-1.57614,-1.03001,1.71231
145,0.26574,-1.81625,-0.15492
146,0.52063,0.37999,-0.93501
147,0.75109,0.59977,-0.37032
148,0.72031,0.59023,-0.3125
149,-0.14983,2.47534,1.33133
150,0.07979,1.25139,0.39679
151,0.87633,0.28739,1.00969
152,1.21257,0.26596,0.44845
153,0.19646,-0.02967,-0.30351
154,0.40114,1.01117,-0.04766
155,-0.11632,1.7015,-0.55021
156,-1.34713,-0.33546,0.98498
157,0.12348,-1.20933,-0.05376
158,1.15978,-0.89942,-0.40885
159,-0.01261,0.27831,0.24892
160,-1.67751,-0.9437,0.1855
161,-1.3505,0.0742,0.4858
162,-1.91929,-1.33318,0.75853
163,-1.47576,-3.03547,0.86857
164,-0.03534,-2.87379,-1.53355
165,-0.35758,-1.48824,-1.11292
166,-0.5033,0.67058,-0.43376
167,-0.27335,-0.42506,1.68043
168,0.64639,0.42377,-0.0084
169,-0.60295,1.0155,0.17228
170,-0.54676,-1.69479,-1.21434
171,1.24493,0.77892,-1.42624
172,0.73446,0.68835,-0.84638
173,0.86885,-0.41563,-0.95574
174,1.72744,-0.33048,-1.06813
175,0.67791,-0.12482,1.08403
176,0.81835,0.65819,0.19231
177,2.81554,-1.72484,1.81627
178,0.94675,1.52519,1.70489
179,-0.56711,2.98238,2.2195
180,-0.59428,0.6064,2.00164
181,-0.56141,-0.23428,1.40744
182,-0.85337,-0.63192,0.75178
183,0.07968,-0.29069,0.07063
184,0.01183,-0.7711,0.28075
185,-0.71326,-2.49832,0.32815
186,-0.83314,-1.06816,0.25864
187,-2.25478,-0.65577,-2.21092
188,0.27442,-1.96036,-0.83992
189,1.59494,0.57735,-1.36233
190,1.75813,1.32871,-0.97654
191,0.43642,1.4745,0.35738
192,0.05898,2.00835,-0.41032
193,0.60657,1.67347,-0.60804
194,-0.75852,0.2229,0.33494
195,-1.60781,-1.11093,1.6153
196,-2.46701,-0.84797,0.44065
197,-0.84499,-2.09268,0.4015
198,0.08097,-1.10423,-0.46824
199,0.0176,-0.02566,-0.0018
200,-0.04847,0.78664,0.36175
201,-0.03053,-0.01936,0.01535
202,0.05467,-0.61525,0.97439
203,0.53316,-0.96955,0.9604
204,-1.65657,-0.7673,0.72025
205,-0.73755,1.43495,0.12903
206,1.65769,-1.60726,-0.75725
207,0.96126,-0.47244,-1.12679
208,-0.59925,0.86475,-0.1648
209,0.56121,0.13149,0.332
210,1.31691,0.80737,-1.42947
211,0.42145,0.61566,-0.17589
212,0.96217,2.33858,0.79634
213,1.24016,0.61694,-1.36542
214,2.63656,0.80746,-1.74527
215,1.20307,2.98595,-1.99509
216,-1.36178,0.58831,-1.92677
217,-2.30936,-1.0347,-0.11146
218,1.08286,-2.78449,-0.94964
219,0.96715,1.09719,1.12963
220,1.29623,3.26025,1.28669
221,-0.40673,3.09629,1.96357
222,2.29198,0.48901,0.65134
223,1.61658,1.36386,-0.84532
224,-0.31585,1.54824,-0.44205
225,1.49395,0.16654,-0.035
226,-0.32654,-0.56348,-1.43036
227,2.11416,-0.29318,0.60415
228,-0.58478,0.06075,-0.29595
229,-0.40332,-0.96545,-1.01489
230,0.05037,0.8182,-1.91185
231,-1.00643,-0.34421,0.9282
232,-0.68481,0.28552,0.5442
233,1.08033,0.12759,-1.49897
234,-0.33663,0.63986,-1.15079
235,0.42715,0.55307,0.68874
236,-0.82897,-1.21171,-0.8084
237,-0.79176,-1.45141,-1.68796
238,-3.26127,-1.8103,-1.90925
239,-1.32493,-3.33832,-0.60509
240,0.67128,-2.68146,0.29767
241,-0.18443,0.15881,-1.76248
242,-0.44789,-0.5595,-0.51835
243,-1.38083,0.05152,-1.07599
244,1.25605,0.3656,1.32279
245,0.12851,-0.0518,3.02521
246,-0.39808,0.84351,1.48308
247,-0.10465,0.34507,0.41809
248,-1.47903,1.40721,0.06025
249,-0.43779,-0.47758,-0.39213
250,-1.0529,-1.17017,-1.06436
